,会议,日期,地点,行业
53,2019阿米巴精品班（12月6-7日成都班）,2019-12-06,其它行业,成都
54,2019CTO赋能大会暨小二班CTO俱乐部年会（北京）,2019-12-06,IT互联网,北京
55,2019《化妆品检验规则》、《化妆品注册和备案检验工作规范》宣贯暨化妆品注册备案与质量控制培训班（12月上海班）,2019-12-06,医疗医学,上海
56,2019生命健康与未来医疗大会（12月南京）,2019-12-06,医疗医学,南京
57,2019年经济管理与模型工程国际学术会议ICEMME2019,2019-12-06,学术会议,马六甲
58,MATLAB数据及图像处理与机器学习培训（12月天津班）,2019-12-06,IT互联网,天津
59,2019国有企业混合所有制改革、国企薪酬绩效改革与长效激励要点专题培训班（12月深圳班）,2019-12-06,其它行业,深圳
60,2019加强国企资产负债约束，促进社会资本规范运作培训班（12月深圳班）,2019-12-06,其它行业,深圳
61,2019 PPP项目绩效考核、《PPP项目合同》深度解析培训班（12月深圳班）,2019-12-06,服务行业,深圳
62,2019医药、化工有机合成反应安全实践及 各类危险反应案例解析专题培训班（12月杭州班）,2019-12-06,能源化工,杭州
63,2019向阿里学管理培训班（12月杭州班）,2019-12-06,其它行业,杭州
64,2019全球社交新零售大会,2019-12-06,服务行业,北京
65,2019注射剂一致性评价疑难问题深度解析班（12月成都班）,2019-12-06,医疗医学,成都
66,2019和谐方舟第十期家庭教育创领盛典培训班（上海）,2019-12-06,其它行业,上海
67,【钛媒体】2019T-EDGE全球创新大会（北京）,2019-12-06,IT互联网,北京
68,2019新形势下投资人、施工企业、金融机构与平台公司合作模式创新实务培训班（12月深圳班）,2019-12-06,金融财经,深圳
69,2019军民融合资质条件、体系建设及泛信息安全产品认证专题培训,2019-12-06,IT互联网,济南
70,【深圳】API Q1-9培训班(2019-12-06),2019-12-06,其它行业,深圳
71,2019中国计算机教育大会（CECC2019）——新时代、新计算、新教育,2019-12-06,教育培训,厦门
72,2019年第58届日本视网膜与玻璃体学会年会(JRVS2019),2019-12-06,学术会议,长崎
73,2019《深圳标杆产业园区项目游学》(12月6-8日深圳班),2019-12-06,游学考察,深圳
74,“走出去”企业的跨文化沟通策略与实践培训班2019（12月上海班）,2019-12-06,其它行业,上海
75,2019全实例偏差和OOS现场练习（12月武汉班）,2019-12-06,医疗医学,武汉
76,2019《交通强国建设纲要》与“四好农村路”建管养新政策法规研习班（12月海口班）,2019-12-06,交通物流,海口
77,构建卓越的客户服务管理体系2019（12月上海班）,2019-12-06,其它行业,上海
78,第五届能源资源与环境工程研究进展国际学术会议ICAESEE2019,2019-12-06,学术会议,重庆
79,2019年智能交通与车辆工程国际学术会议ICITVE2019,2019-12-06,学术会议,重庆
80,2019阿米巴精品班（12月6-7日郑州班）,2019-12-06,其它行业,郑州
81,2019第三届紫亚兰国际抗衰老医美大会（深圳）,2019-12-06,医疗医学,深圳
82,2019年第5届国际冠状动脉外科大会(ICC2019),2019-12-06,学术会议,纽约
83,2019阿米巴精品班（12月6-7日杭州班）,2019-12-06,其它行业,杭州
84,中国零售科技决策者峰会2019暨中国零售行业CIO联盟年会 CORS-RT2019（上海）,2019-12-06,服务行业,上海
85,2019阿米巴精品班（12月6-7日深圳班）,2019-12-06,其它行业,深圳
86,2019年第60届日本肺癌学会年会(JLCS2019),2019-12-06,学术会议,大阪
87,绩效考核暨KPI+BSC实战训练营 北京12月6-7日,2019-12-06,其它行业,北京
88,2019年欧洲放射治疗与肿瘤学会亚洲大会(ESTRO ASIA 2019),2019-12-06,学术会议,新加坡
89,OFweek 2019（第四届）中国物联网产业大会（深圳）,2019-12-06,IT互联网,深圳
90,2019世界创新者年会——零售新消费论坛（北京）,2019-12-06,IT互联网,北京
91,2019世界创新者年会-投资新趋势论坛（北京）,2019-12-06,IT互联网,北京
92,2019年12月索菲•海灵格-杭州成功的人生工作坊,2019-12-06,其它行业,杭州
93,2019环境矿物材料创新发展大会（北京）,2019-12-07,能源化工,北京
94,天海尼克美国心脏协会(AHA) 国际认证心脏救护课程（12月北京班）,2019-12-07,医疗医学,北京
95,2019蛋白质组学与代谢组学实验设计和数据分析研讨会（12月上海班）,2019-12-07,医疗医学,上海
96,2019年国际婴幼儿教育学术交流大会,2019-12-07,服务行业,北京
97,2020年国自然基金标书构思与撰写研讨会（12月上海班）,2019-12-07,医疗医学,上海
98,2019 GSIC-全球STEAM教育创新峰会（上海）,2019-12-07,教育培训,上海
99,2019 ANSYS 旋转机械的转子动力学分析高级专题培训（12月郑州班）,2019-12-07,教育培训,郑州
100,2019全国非编码RNA与外泌体研究实战研讨班（12月北京班）,2019-12-07,医疗医学,北京
101,2019第七届中国用户体验峰会,2019-12-07,IT互联网,广州
102,2019走进日本参观考察—对标日本丰田、爱知工厂、大福集团、京瓷等学习精益生产管理之道,2019-12-07,游学考察,名古屋
103,2019国自然基金标书构思及撰写经验分享会（12月上海班）,2019-12-07,医疗医学,上海
104,2019用R语言做统计初高级速成班（12月北京班）,2019-12-07,医疗医学,北京
105,肿瘤公开数据库SEER数据库挖掘分析专题会议2019（12月上海班）,2019-12-07,医疗医学,上海
106,2019临床医生如何利用TCGA及SEER等公共数据库发文章（12月上海班）,2019-12-07,医疗医学,上海
107,2019全球应用科技（5G）发展大会（广州）,2019-12-07,IT互联网,广州
108,2019年欧洲衰老与老年医学会议,2019-12-07,学术会议,伦敦
109,2019年马来西亚教育、技术、商业和社会科学国际会议,2019-12-07,学术会议,吉隆坡
110,2019房地产工程质量失控节点成因分析与防治措施应对解析培训（12月青岛班）,2019-12-07,地产建筑,青岛
111,2019以盈利为目标的房地产成本管控及各专业跨界协同经验借鉴实战培训(12月深圳班),2019-12-07,地产建筑,深圳
112,2019提速、增效 ——房地产从计划运营到大运营管理的迈进（12月西安班）,2019-12-07,地产建筑,西安
113,2019全国教育集成服务商领袖峰会（北京）,2019-12-07,教育培训,北京
114,2019干细胞研究方法及应用培训班（12月北京班）,2019-12-07,医疗医学,北京
115,行政管理实操训练班2019（12月7-8日深圳班） ,2019-12-07,其它行业,深圳
116,2019以盈利为目标的房地产成本管控及各专业跨界协同经验借鉴（12月深圳班）,2019-12-07,地产建筑,深圳
117,2019第5期单细胞测序数据挖掘与课题设计学习班（12月上海班）,2019-12-07,医疗医学,上海
118,2019临床预测模型类论文速成班（12月上海班）,2019-12-07,教育培训,上海
119,2019产融视角下的供应链金融风控与科技应用培训班（12月北京班）,2019-12-07,金融财经,北京
120,2019AutoSAR原理与实践培训班(12月上海),2019-12-07,交通物流,上海
121,2019金融不良资产：尽职调查、交易结构设计、房地产共益债以及深度处置模式解析高级培训班（12月深圳）,2019-12-07,金融财经,深圳
122,2019高级秘书、助理和行政人员技能提高训练营（12月深圳班）,2019-12-07,其它行业,深圳
123,2019第十九届5G短视频实操班（12月厦门）,2019-12-07,文化传媒,厦门
124,2019供应链金融风控全视角解剖与落地培训班（12月北京班）,2019-12-07,金融财经,北京
125,新任经理、部门主管全面管理技能提升训练2019（12月上海班）,2019-12-07,其它行业,上海
126,敏捷嘉年华·暨规模化敏捷冬季峰会2019（北京）,2019-12-07,IT互联网,北京
127,大客户开发与营销策略地图2019（12月深圳班）,2019-12-07,其它行业,深圳
128,2019中国车联网技术与应用大会（杭州）,2019-12-07,IT互联网,杭州
129,2019世界创新者年会-科学企业家论坛（北京）,2019-12-07,其它行业,北京
130,2019世界创新者年会-青年创新者论坛（北京）,2019-12-07,IT互联网,北京
131,2019阿米巴精品班（12月7-8日长春班）,2019-12-07,其它行业,长春
132,2019世界创业者年会-女性创业者论坛（北京）,2019-12-07,IT互联网,北京
133,2019年美国血液学会年会（ASH）,2019-12-07,学术会议,奥兰多
134,2019第五届深圳湾国际创投大会,2019-12-07,金融财经,深圳
135,2020国际循环电商高峰论坛（深圳）,2019-12-07,IT互联网,深圳
136,2019第六届中国托管教育节（福州）,2019-12-07,教育培训,福州
137,2019年长三角产业互联网大会暨IT高管会上海年会（上海）,2019-12-07,IT互联网,上海
138,2019「运营新势力」第5期——破解后流量时代营销增长力（北京）,2019-12-07,IT互联网,北京
139,2019世界创新者年会-产业互联网创新论坛（北京）,2019-12-07,IT互联网,北京
140,2019世界创新者年会-智能硬科技论坛（北京）,2019-12-07,IT互联网,北京
141,2019世界创新者年会-医疗大健康创新论坛（北京),2019-12-07,医疗医学,北京
142,决胜2020-第十八届中国企业领袖年会,2019-12-08,其它行业,北京
143,2019 DevOpsDays 上海站,2019-12-08,IT互联网,上海
144,2019中国机器人产业发展大会,2019-12-08,IT互联网,重庆
145,第三届大北京文康旅标杆项目游学,2019-12-08,游学考察,北京
146,2019第七届全国智能养老战略研讨会,2019-12-08,医疗医学,北京
147, 2019新时期职业医药经理人的三项修炼培训班（12月广州）,2019-12-08,医疗医学,广州
148,岗位分析与薪酬设计2019（12月北京班）,2019-12-08,其它行业,北京
149,12月8日●广州【理念＋算盘】阿米巴经营精华班2019,2019-12-08,其它行业,广州
150,2019年美国卫生系统药师学会年中临床会议与展览会(ASHP2019),2019-12-08,学术会议,拉斯维加斯
151,2019年泰国第23届芭堤雅工程与技术进步国际会议,2019-12-08,学术会议,芭堤雅
152,2019爆品复盘沙龙——国际电子烟巨头JUUL（12月广州班）,2019-12-08,IT互联网,广州
153,彼岸教育“科技菁英会”12月场——《机器学习—理论与实战》,2019-12-08,IT互联网,北京
154,2019 Fastmarkets RISI 亚太卫生用品行业论坛（上海）,2019-12-08,加工制造,上海
155,2019CHINAFIT/IHRSA中国管理论坛,2019-12-09,服务行业,深圳
156,国际色彩设计师认证班 （12月北京班）,2019-12-09,服务行业,北京
157,2019医疗器械GMP和过程确认研修班（北京）,2019-12-09,医疗医学,北京
158,2019云南大学第45届高管论坛『2020年中国经济形势分析与民营企业应对策略』（昆明）,2019-12-09,其它行业,昆明
159,2019年新西兰第二届土木建筑与环境工程国际会议,2019-12-09,学术会议,奥克兰
160,2019日本装配式建筑深度考察·培训活动,2019-12-09,游学考察,东京
161,ACE2019全球素质教育行业峰会暨第三届国际素质教育展,2019-12-09,教育培训,北京
162,攻防领域CISP-PTE渗透测试工程师认证（12月北京班）,2019-12-10,IT互联网,北京
163,2019第六届中国国际大数据大会,2019-12-10,IT互联网,北京
164,2019全国设备润滑管理与实用技术培训班（珠海）,2019-12-10,加工制造,珠海
165,2019 国际IT管理最佳实践认证课程（12月北京）,2019-12-10,IT互联网,北京
166,猎云网2019年度CEO峰会暨猎云网创投颁奖盛典,2019-12-10,IT互联网,北京
167,NFS2019年度CEO峰会暨猎云网创投颁奖盛典,2019-12-10,金融财经,北京
168,巴西海洋油气决策者大会 2019,2019-12-10,能源化工,里约热内卢
169,2019企业用工风险防范精品课（12月贵阳班）,2019-12-10,其它行业,贵阳
170,第三届氢能与储能技术国际研讨会暨中国氢能产业技术创新与应用联盟2019年年会（宁波）,2019-12-10,能源化工,宁波
171,2019并行与英特尔软件技术交流研讨会（北京）,2019-12-10,IT互联网,北京
172,【青岛】杂货检验基本知识培训班(2019-12-10),2019-12-10,服务行业,青岛
173,2019安全生产管理、风险防控及应急体制机制建设等相关知识暨高级安全工程管理师培训班（12月深圳）,2019-12-10,加工制造,深圳
174,2019年澳大利亚社会科学与人文科学国际会议,2019-12-10,学术会议,悉尼
175,【上海】验货流程及技术基础培训班(AQL，抽样，疵点判定)(2019-12-10),2019-12-10,服务行业,上海
176,2019年第51届英国医学超声学会年会(BMUS2019),2019-12-10,学术会议,哈罗盖特
177,2019年第42届圣安东尼奥乳腺癌研讨会(SABCS2019),2019-12-10,学术会议,圣安东尼奥
178,2019阿米巴精品班（12月10-11日盘锦班）,2019-12-10,其它行业,盘锦
179,2019国有企业职业经理人制度与管理体系建设专题研讨班（12月武汉班）,2019-12-10,其它行业,武汉
180,2019年第18届新加坡工程技术进步国际会议,2019-12-10,学术会议,新加坡城
181,2019火星科学盒STEAM课程推介会——STEAM教育爆发时代  共享千亿新蓝海（北京）,2019-12-10,教育培训,北京
182,"大客户开发与维护中的""诊""与""治""2019（12月上海班）",2019-12-10,其它行业,上海
183,激活您的管理动能：2019中国十大管理实践案例分享,2019-12-10,其它行业,深圳
184,2019亚太内容分发大会暨CDN峰会广东站,2019-12-11,IT互联网,广州
185,第二十届中国国际建筑智能化峰会,2019-12-11,地产建筑,广州
186,2019《精益生产对标学习之旅》两天理论培训＋两家标杆工厂参观12月上海,2019-12-11,IT互联网,上海
187,2019“新形势下食品安全能力提升--新版食品安全法实施条例解读”专题培训班（12月沈阳）,2019-12-11,服务行业,沈阳
188,第十二届磁共振脑网络数据处理班,2019-12-11,医疗医学,南京
189,2019全国油田化学品及炼化助剂推广与应用交流研讨会（西安）,2019-12-11,能源化工,西安
190,2019年第58届IEEE决策和控制会议 (CDC 2019),2019-12-11,学术会议,内罗毕
191,第十五届TFCalc光学薄膜设计软件培训班2019（12月南京班）,2019-12-11,加工制造,南京
192,2019全国普通中学、中等职业学校创新高峰论坛暨综合实践活动课、劳技课、非职业学校的职业技能教育研讨交流会（苏州）,2019-12-11,教育培训,苏州
193,2019中国（天津滨海）国际生态城市论坛暨2019数字经济创新峰会,2019-12-11,地产建筑,天津
194,2019招标采购全运作流程实务操作、各环节案例分析、评标的组织实施及评标办法、规则、程序、技巧培训班（12月西安班）,2019-12-11,地产建筑,西安
195,2019年阿联酋急诊医学社会科学会议（ESEM）,2019-12-11,学术会议,迪拜
196,2019阿米巴精品班（12月11-12日广州班）,2019-12-11,其它行业,广州
197,2019上海第六届现代物流与供应链高峰论坛,2019-12-11,交通物流,上海
198,中医药助力健康产业——2019第二届药食两用健康食品产品开发与生产应用关键技术创新交流会（广州）,2019-12-11,医疗医学,广州
199,2019人工智能：机器学习和深度学习(12月北京班),2019-12-11,IT互联网,北京
0,2019企业出行服务峰会（北京）,2019-12-05,IT互联网,北京
1,2019微信生态智慧经营线下峰会,2019-12-05,IT互联网,昆明
2,数“智”● 未来 — 场景引领招聘新势能 （广州站）,2019-12-05,其它行业,广州
3,2019深度学习DeepLearning核心技术实战培训班（12月北京班）,2019-12-06,IT互联网,北京
4,2019《教学能力提升暨课程信息化设计与制作》实战班 （12月北京）,2019-12-06,教育培训,北京
5,ArchSummit全球架构师峰会（北京站）2019,2019-12-06,IT互联网,北京
6,第三期临床科研设计与meta分析培训班（12月广州站）,2019-12-06,医疗医学,广州
7,4+7新政下患者为中心高峰论坛2019（上海）,2019-12-06,医疗医学,上海
8,Proof of Value 价值共识大会 2019 · 上海（区块链峰会）,2019-12-06,金融财经,上海
9,2019‘双万计划’国家级一流本科课程建设与申报研修班（12月桂林班）,2019-12-06,教育培训,桂林
10,鼎酩学院WSET葡萄酒三级课程（12月厦门班）,2019-12-06,服务行业,厦门
11,2019工程教育专业认证专题研修班（12月厦门班）,2019-12-06,教育培训,厦门
12,2019金课建设与课程思政教学设计工作坊,2019-12-06,教育培训,厦门
13,2019第七届全国绿色医院建设大会（哈尔滨）,2019-12-06,医疗医学,哈尔滨
14,Kubernetes CKA实战培训 - 12月成都班,2019-12-06,IT互联网,成都
15,2019聚焦金课的高校虚拟仿真实验教学项目建设研修班（12月北京班）,2019-12-06,教育培训,北京
16,【郑州•12月】UAWS·WSET®第三级葡萄酒认证课程,2019-12-06,服务行业,郑州
17,2019“新形势下食品安全能力提升--新版食品安全法实施条例解读”专题培训班,2019-12-06,服务行业,广州
18,“竖拍·速剪·精修”2019全国视频拍摄与剪辑包装年终集训（12月武汉班）,2019-12-06,文化传媒,武汉
19,2019全国被动式装配建筑与乡村振兴产业发展大会——暨田园综合体与特色小镇建设高峰论坛,2019-12-06,地产建筑,泉州
20,2019天然产物与中药的节能高效提取、分离纯化研究进展及智能化技术应用专题交流会（西安）,2019-12-06,医疗医学,西安
21,2019（杭州）绿色化工催化加氢技术、催化剂开发及设备选型交流研讨会,2019-12-06,能源化工,杭州
22,2019（杭州）化工管道与设备的绝热（保温与保冷）专题培训班,2019-12-06,能源化工,杭州
23,2019年中国肿瘤标志物学术大会暨第十三届肿瘤标志物青年科学家论坛,2019-12-06,医疗医学,武汉
24,2019生物饲料发酵实用新技术与营养科学大会暨新技术、新产品、新装备展示会,2019-12-06,农林牧渔,武汉
25,2019高校青年教师学术论文写作与发表研修班（12月北京班）,2019-12-06,教育培训,北京
26,2019世界创新者年会（北京）,2019-12-06,IT互联网,北京
27,第三届电化学与储能国际研讨会(CEES 2019),2019-12-06,能源化工,三亚
28,第六届植物学国际研讨会(CB 2019),2019-12-06,农林牧渔,三亚
29,第三届声学、振动、噪声控制国际研讨会（CAVNC 2019） ,2019-12-06,教育培训,三亚
30,第三届微生物，病毒与免疫国际研讨会(CMVI 2019),2019-12-06,医疗医学,三亚
31,第五届生物化学与分子生物学国际研讨会(CABMB 2019),2019-12-06,教育培训,三亚
32,第六届分子、原子、核及粒子物理学术研讨会(MANPP 2019),2019-12-06,教育培训,三亚
33,第八届遗传学与基因组学国际研讨会(GC 2019),2019-12-06,教育培训,三亚
34,第五届激光与光电子国际研讨会(LOC 2019),2019-12-06,教育培训,三亚
35,第五届辐射效应和辐射防护学术研讨会(RERP 2019),2019-12-06,教育培训,三亚
36,第六届天体物理与空间科学国际研讨会（APSS 2019）,2019-12-06,教育培训,三亚
37,量子位MEET 2020智能未来大会 | 人工智能与前沿科技峰会,2019-12-06,IT互联网,北京
38,2019新零售时代VIP精准营销与粉丝经营高级研修班（12月北京）,2019-12-06,服务行业,北京
39,SmartShow2019国际教育信息化论坛（北京）,2019-12-06,教育培训,北京
40,嵌入式智能国际大会2019,2019-12-06,IT互联网,深圳
41,2019年太阳能光伏技术国际会议(CSPT 2019),2019-12-06,能源化工,三亚
42,2019年电池与燃料电池技术国际研讨会(BFCT 2019),2019-12-06,能源化工,三亚
43,第三届石油化工和节能减排国际研讨会(PECER 2019),2019-12-06,能源化工,三亚
44,2019年第三届动物医学学术研讨会 (CVM 2019) ,2019-12-06,农林牧渔,三亚
45,2019（第五届）中国转型+峰会（广州）,2019-12-06,金融财经,广州
46,2019年12月6-8日网状meta分析培训（12月北京班）,2019-12-06,医疗医学,北京
47,2019装配式建筑师报考培训班（11月北京班）,2019-12-06,地产建筑,北京
48,2019装配式建筑师培训班（12月北京）,2019-12-06,地产建筑,北京
49,2019装配式建筑工程师报考培训班（12月北京班）,2019-12-06,地产建筑,北京
50,2019第四届中国国际金融科技创新大会（上海）,2019-12-06,金融财经,上海
51,2019年教育科学与经济发展国际学术会议ICESED2019,2019-12-06,学术会议,马六甲
52,2019年第73届美国癫痫学会年会(AES2019),2019-12-06,学术会议,巴尔的摩
53,2019阿米巴精品班（12月6-7日成都班）,2019-12-06,其它行业,成都
54,2019CTO赋能大会暨小二班CTO俱乐部年会（北京）,2019-12-06,IT互联网,北京
55,2019《化妆品检验规则》、《化妆品注册和备案检验工作规范》宣贯暨化妆品注册备案与质量控制培训班（12月上海班）,2019-12-06,医疗医学,上海
56,2019生命健康与未来医疗大会（12月南京）,2019-12-06,医疗医学,南京
57,2019年经济管理与模型工程国际学术会议ICEMME2019,2019-12-06,学术会议,马六甲
58,MATLAB数据及图像处理与机器学习培训（12月天津班）,2019-12-06,IT互联网,天津
59,2019国有企业混合所有制改革、国企薪酬绩效改革与长效激励要点专题培训班（12月深圳班）,2019-12-06,其它行业,深圳
60,2019加强国企资产负债约束，促进社会资本规范运作培训班（12月深圳班）,2019-12-06,其它行业,深圳
61,2019 PPP项目绩效考核、《PPP项目合同》深度解析培训班（12月深圳班）,2019-12-06,服务行业,深圳
62,2019医药、化工有机合成反应安全实践及 各类危险反应案例解析专题培训班（12月杭州班）,2019-12-06,能源化工,杭州
63,2019向阿里学管理培训班（12月杭州班）,2019-12-06,其它行业,杭州
64,2019全球社交新零售大会,2019-12-06,服务行业,北京
65,2019注射剂一致性评价疑难问题深度解析班（12月成都班）,2019-12-06,医疗医学,成都
66,2019和谐方舟第十期家庭教育创领盛典培训班（上海）,2019-12-06,其它行业,上海
67,【钛媒体】2019T-EDGE全球创新大会（北京）,2019-12-06,IT互联网,北京
68,2019新形势下投资人、施工企业、金融机构与平台公司合作模式创新实务培训班（12月深圳班）,2019-12-06,金融财经,深圳
69,2019军民融合资质条件、体系建设及泛信息安全产品认证专题培训,2019-12-06,IT互联网,济南
70,【深圳】API Q1-9培训班(2019-12-06),2019-12-06,其它行业,深圳
71,2019中国计算机教育大会（CECC2019）——新时代、新计算、新教育,2019-12-06,教育培训,厦门
72,2019年第58届日本视网膜与玻璃体学会年会(JRVS2019),2019-12-06,学术会议,长崎
73,2019《深圳标杆产业园区项目游学》(12月6-8日深圳班),2019-12-06,游学考察,深圳
74,“走出去”企业的跨文化沟通策略与实践培训班2019（12月上海班）,2019-12-06,其它行业,上海
75,2019全实例偏差和OOS现场练习（12月武汉班）,2019-12-06,医疗医学,武汉
76,2019《交通强国建设纲要》与“四好农村路”建管养新政策法规研习班（12月海口班）,2019-12-06,交通物流,海口
77,构建卓越的客户服务管理体系2019（12月上海班）,2019-12-06,其它行业,上海
78,第五届能源资源与环境工程研究进展国际学术会议ICAESEE2019,2019-12-06,学术会议,重庆
79,2019年智能交通与车辆工程国际学术会议ICITVE2019,2019-12-06,学术会议,重庆
80,2019阿米巴精品班（12月6-7日郑州班）,2019-12-06,其它行业,郑州
81,2019第三届紫亚兰国际抗衰老医美大会（深圳）,2019-12-06,医疗医学,深圳
82,2019年第5届国际冠状动脉外科大会(ICC2019),2019-12-06,学术会议,纽约
83,2019阿米巴精品班（12月6-7日杭州班）,2019-12-06,其它行业,杭州
84,中国零售科技决策者峰会2019暨中国零售行业CIO联盟年会 CORS-RT2019（上海）,2019-12-06,服务行业,上海
85,2019阿米巴精品班（12月6-7日深圳班）,2019-12-06,其它行业,深圳
86,2019年第60届日本肺癌学会年会(JLCS2019),2019-12-06,学术会议,大阪
87,绩效考核暨KPI+BSC实战训练营 北京12月6-7日,2019-12-06,其它行业,北京
88,2019年欧洲放射治疗与肿瘤学会亚洲大会(ESTRO ASIA 2019),2019-12-06,学术会议,新加坡
89,OFweek 2019（第四届）中国物联网产业大会（深圳）,2019-12-06,IT互联网,深圳
90,2019世界创新者年会——零售新消费论坛（北京）,2019-12-06,IT互联网,北京
91,2019世界创新者年会-投资新趋势论坛（北京）,2019-12-06,IT互联网,北京
92,2019年12月索菲•海灵格-杭州成功的人生工作坊,2019-12-06,其它行业,杭州
93,2019环境矿物材料创新发展大会（北京）,2019-12-07,能源化工,北京
94,天海尼克美国心脏协会(AHA) 国际认证心脏救护课程（12月北京班）,2019-12-07,医疗医学,北京
95,2019蛋白质组学与代谢组学实验设计和数据分析研讨会（12月上海班）,2019-12-07,医疗医学,上海
96,2019年国际婴幼儿教育学术交流大会,2019-12-07,服务行业,北京
97,2020年国自然基金标书构思与撰写研讨会（12月上海班）,2019-12-07,医疗医学,上海
98,2019 GSIC-全球STEAM教育创新峰会（上海）,2019-12-07,教育培训,上海
99,2019 ANSYS 旋转机械的转子动力学分析高级专题培训（12月郑州班）,2019-12-07,教育培训,郑州
