会议,日期,地点,行业
2019年澳大利亚社会科学与人文科学国际会议,2019-12-10,学术会议,悉尼
2019并行与英特尔软件技术交流研讨会（北京）,2019-12-10,IT互联网,北京
"大客户开发与维护中的""诊""与""治""2019（12月上海班）",2019-12-10,其它行业,上海
2019国有企业职业经理人制度与管理体系建设专题研讨班（12月武汉班）,2019-12-10,其它行业,武汉
2019火星科学盒STEAM课程推介会——STEAM教育爆发时代  共享千亿新蓝海（北京）,2019-12-10,教育培训,北京
激活您的管理动能：2019中国十大管理实践案例分享,2019-12-10,其它行业,深圳
第二十届中国国际建筑智能化峰会,2019-12-11,地产建筑,广州
2019“新形势下食品安全能力提升--新版食品安全法实施条例解读”专题培训班（12月沈阳）,2019-12-11,服务行业,沈阳
2019《精益生产对标学习之旅》两天理论培训＋两家标杆工厂参观12月上海,2019-12-11,IT互联网,上海
第十二届磁共振脑网络数据处理班,2019-12-11,医疗医学,南京
2019亚太内容分发大会暨CDN峰会广东站,2019-12-11,IT互联网,广州
2019如何让PPT轻松制作及完美演示（12月上海班）,2019-12-11,其它行业,上海
中医药助力健康产业——2019第二届药食两用健康食品产品开发与生产应用关键技术创新交流会（广州）,2019-12-11,医疗医学,广州
2019年第58届IEEE决策和控制会议 (CDC 2019),2019-12-11,学术会议,内罗毕
2019基因毒性杂质风险评估、分析检测及注册申报培训交流会,2019-12-11,医疗医学,苏州
2019人工智能：走进企业的体验式学习(12月北京班),2019-12-11,IT互联网,北京
2019人工智能：机器学习和深度学习(12月北京班),2019-12-11,IT互联网,北京
2019年阿联酋急诊医学社会科学会议（ESEM）,2019-12-11,学术会议,迪拜
2019全国油田化学品及炼化助剂推广与应用交流研讨会（西安）,2019-12-11,能源化工,西安
2019全国普通中学、中等职业学校创新高峰论坛暨综合实践活动课、劳技课、非职业学校的职业技能教育研讨交流会（苏州）,2019-12-11,教育培训,苏州
2019新零售生鲜峰会（上海）,2019-12-11,服务行业,上海
第十五届TFCalc光学薄膜设计软件培训班2019（12月南京班）,2019-12-11,加工制造,南京
2019CHINAFIT/IHRSA中国管理论坛,2019-12-09,服务行业,深圳
2019医疗器械GMP和过程确认研修班（北京）,2019-12-09,医疗医学,北京
国际色彩设计师认证班 （12月北京班）,2019-12-09,服务行业,北京
2019云南大学第45届高管论坛『2020年中国经济形势分析与民营企业应对策略』（昆明）,2019-12-09,其它行业,昆明
2019日本装配式建筑深度考察·培训活动,2019-12-09,游学考察,东京
2019年新西兰第二届土木建筑与环境工程国际会议,2019-12-09,学术会议,奥克兰
ACE2019全球素质教育行业峰会暨第三届国际素质教育展,2019-12-09,教育培训,北京
巴西海洋油气决策者大会 2019,2019-12-10,能源化工,里约热内卢
2019全国设备润滑管理与实用技术培训班（珠海）,2019-12-10,加工制造,珠海
2019 国际IT管理最佳实践认证课程（12月北京）,2019-12-10,IT互联网,北京
2019第六届中国国际大数据大会,2019-12-10,IT互联网,北京
猎云网2019年度CEO峰会暨猎云网创投颁奖盛典,2019-12-10,IT互联网,北京
攻防领域CISP-PTE渗透测试工程师认证（12月北京班）,2019-12-10,IT互联网,北京
NFS2019年度CEO峰会暨猎云网创投颁奖盛典,2019-12-10,金融财经,北京
2019企业用工风险防范精品课（12月贵阳班）,2019-12-10,其它行业,贵阳
第三届氢能与储能技术国际研讨会暨中国氢能产业技术创新与应用联盟2019年年会（宁波）,2019-12-10,能源化工,宁波
2019年第51届英国医学超声学会年会(BMUS2019),2019-12-10,学术会议,哈罗盖特
2019年第42届圣安东尼奥乳腺癌研讨会(SABCS2019),2019-12-10,学术会议,圣安东尼奥
2019阿米巴精品班（12月10-11日盘锦班）,2019-12-10,其它行业,盘锦
2019安全生产管理、风险防控及应急体制机制建设等相关知识暨高级安全工程管理师培训班（12月深圳）,2019-12-10,加工制造,深圳
2019年第18届新加坡工程技术进步国际会议,2019-12-10,学术会议,新加坡城
【上海】验货流程及技术基础培训班(AQL，抽样，疵点判定)(2019-12-10),2019-12-10,服务行业,上海
【青岛】杂货检验基本知识培训班(2019-12-10),2019-12-10,服务行业,青岛
2019年澳大利亚社会科学与人文科学国际会议,2019-12-10,学术会议,悉尼
2019并行与英特尔软件技术交流研讨会（北京）,2019-12-10,IT互联网,北京
"大客户开发与维护中的""诊""与""治""2019（12月上海班）",2019-12-10,其它行业,上海
2019国有企业职业经理人制度与管理体系建设专题研讨班（12月武汉班）,2019-12-10,其它行业,武汉
2019火星科学盒STEAM课程推介会——STEAM教育爆发时代  共享千亿新蓝海（北京）,2019-12-10,教育培训,北京
激活您的管理动能：2019中国十大管理实践案例分享,2019-12-10,其它行业,深圳
第二十届中国国际建筑智能化峰会,2019-12-11,地产建筑,广州
2019“新形势下食品安全能力提升--新版食品安全法实施条例解读”专题培训班（12月沈阳）,2019-12-11,服务行业,沈阳
2019《精益生产对标学习之旅》两天理论培训＋两家标杆工厂参观12月上海,2019-12-11,IT互联网,上海
第十二届磁共振脑网络数据处理班,2019-12-11,医疗医学,南京
2019亚太内容分发大会暨CDN峰会广东站,2019-12-11,IT互联网,广州
2019如何让PPT轻松制作及完美演示（12月上海班）,2019-12-11,其它行业,上海
中医药助力健康产业——2019第二届药食两用健康食品产品开发与生产应用关键技术创新交流会（广州）,2019-12-11,医疗医学,广州
2019年第58届IEEE决策和控制会议 (CDC 2019),2019-12-11,学术会议,内罗毕
2019基因毒性杂质风险评估、分析检测及注册申报培训交流会,2019-12-11,医疗医学,苏州
2019人工智能：走进企业的体验式学习(12月北京班),2019-12-11,IT互联网,北京
2019人工智能：机器学习和深度学习(12月北京班),2019-12-11,IT互联网,北京
2019年阿联酋急诊医学社会科学会议（ESEM）,2019-12-11,学术会议,迪拜
2019全国油田化学品及炼化助剂推广与应用交流研讨会（西安）,2019-12-11,能源化工,西安
2019全国普通中学、中等职业学校创新高峰论坛暨综合实践活动课、劳技课、非职业学校的职业技能教育研讨交流会（苏州）,2019-12-11,教育培训,苏州
2019新零售生鲜峰会（上海）,2019-12-11,服务行业,上海
第十五届TFCalc光学薄膜设计软件培训班2019（12月南京班）,2019-12-11,加工制造,南京
2019中国（天津滨海）国际生态城市论坛暨2019数字经济创新峰会,2019-12-11,地产建筑,天津
2‌019营商环境专项整治工作形势下采购招标全流程 实务操作、案例分析、合同管理、纪检审计监督（12月西安班）,2019-12-11,其它行业,西安
2019阿米巴精品班（12月11-12日广州班）,2019-12-11,其它行业,广州
2019上海第六届现代物流与供应链高峰论坛,2019-12-11,交通物流,上海
2019招标采购全运作流程实务操作、各环节案例分析、评标的组织实施及评标办法、规则、程序、技巧培训班（12月西安班）,2019-12-11,地产建筑,西安
2019第三届中国(国际)Micro-LED 显示高峰论坛,2019-12-11,加工制造,南京
2019第七届中国商业创新大会暨第四届世界区块链创新大会（北京）,2019-12-11,IT互联网,北京
2019年全球大尺寸面板及整机年度总结及趋势展望专题研讨会,2019-12-11,加工制造,深圳
2019「运营新势力」第6期——数据驱动的业务增长（12月上海）,2019-12-11,IT互联网,上海
Odoo13深圳发布会 企业数智化管理 赋能信息化升级,2019-12-11,IT互联网,深圳
2019 GROMACS分子动力学核心技术实战培训班（12月北京）,2019-12-12,教育培训,北京
【丁香园】首席品牌官CBO·宣传综合能力提升高级研修班（短视频专场）,2019-12-12,医疗医学,海口
2019互联网协议IPv6 规模部署及服务搭建高级培训班（12月深圳班）,2019-12-12,IT互联网,深圳
2019 陆享会 亚太差旅管理论坛（上海）,2019-12-12,服务行业,上海
2019Spark及Hadoop开发员培训班（12月深圳）,2019-12-12,IT互联网,深圳
2019中国药物制剂研发前沿技术峰会 （上海）,2019-12-12,医疗医学,上海
第七届CTCS China 2019 打造企业差旅费控全产业链服务峰会（上海）,2019-12-12,服务行业,上海
2019第6届TMA移动营销峰会,2019-12-12,IT互联网,广州
"2019 IEEE International Conference on I-SMAC (Iot In Social, Mobile, Analytics And Cloud) (ISMAC 201",2019-12-12,学术会议,coimbatore
泡病假、医疗期、“三期”、工伤管理疑难问题及争议处理技巧班2019（12月上海班）,2019-12-12,其它行业,上海
2019年度GIS数据处理、制图、空间分析技术会议（12月南京班）,2019-12-12,其它行业,南京
2019第13届中国城市建设投融资论坛（成都）,2019-12-12,地产建筑,成都
第四届计算机技术与机械电气工程国际学术论坛ISCME2019,2019-12-12,学术会议,成都
2019阿米巴精品班（12月12日青岛班）,2019-12-12,其它行业,青岛
2019阿米巴精品班（12月12-13日上海班）,2019-12-12,其它行业,上海
2019年12月份医用生物力学专题培训班（北京）,2019-12-12,医疗医学,北京
2019国际反商业贿赂暨合规大会（上海）,2019-12-12,金融财经,上海
2019《中华人民共和国食品安全法实施条例》宣贯暨食品检验技术与质量控制培训班（12月长沙班）,2019-12-12,服务行业,长沙
2019深层挖掘EXCEL里的高级应用（12月上海班）,2019-12-12,其它行业,上海
2019第14届中国冷链物流行业年会（常州）,2019-12-12,交通物流,常州
2019年亚太消化病周(APDW2019),2019-12-12,学术会议,加尔各答
2019第六届中国IoT大会（深圳）,2019-12-12,IT互联网,深圳
【深圳】ISO 45001:2018职业健康安全管理体系内审员培训(2019-12-12),2019-12-12,其它行业,深圳
2019教练式领导力 （12月12日上海班）,2019-12-12,其它行业,上海
2019火星科学盒STEAM课程推介会——STEAM教育爆发时代  共享千亿新蓝海（重庆）,2019-12-12,教育培训,重庆
2019亚洲保险科技大会暨“金革奖”颁奖典礼（上海）,2019-12-12,金融财经,上海
2019中欧智能网联技术研讨会（北京）,2019-12-12,IT互联网,北京
2019中国人力资源论坛（北京）,2019-12-12,其它行业,北京
2019股权激励方案设计班（12月上海）,2019-12-12,其它行业,上海
2019《国有企业采购操作规范》解读培训班（12月厦门班）,2019-12-12,其它行业,厦门
洪桂彬：泡病假、医疗期、“三期”、工伤管理疑难问题及争议处理技巧2019（12月上海班） 上海12月12日,2019-12-12,其它行业,上海
2019体系结构框架DoDAF 理论和实践(12月北京班),2019-12-12,IT互联网,北京
2020版药典相关解读与各部难点实践分析2019（12月南京班）,2019-12-12,医疗医学,南京
2019第七届中国商业创新大会暨第四届世界区块链创新大会（北京）,2019-12-12,IT互联网,北京
2019第三届全国工厂数字化升级解决方案研讨会-哈尔滨站,2019-12-12,IT互联网,哈尔滨
数“智”● 未来 — 场景引领招聘新势能 （上海站）,2019-12-12,其它行业,上海
2019“预见未来”AIoT·创新发展论坛,2019-12-12,IT互联网,西安
Azure微软云实战交流会2019（广州）,2019-12-12,IT互联网,广州
2019（第二届）中央企业集采供应链年会（南京）,2019-12-12,其它行业,南京
2019第四届中国交易银行年会（北京）,2019-12-13,金融财经,北京
第九届纳米材料国际研讨会（CN-BT 2019）,2019-12-13,加工制造,曼谷
第六届神经学与神经外科国际研讨会(NeuroConf-BT 2019),2019-12-13,医疗医学,曼谷
第六届高分子材料国际研讨会（PMS-BT 2019）,2019-12-13,加工制造,曼谷
第四届组织医学与再生医学国际研讨会(CTERM-BT 2019),2019-12-13,医疗医学,曼谷
聚焦教学比赛，提升备战实力——人工智能时代下教师智慧课堂教学创新能力提升专题培训班,2019-12-13,教育培训,西安
第三届公共卫生与预防医学国际学术会议(PHPM-BT 2019) ,2019-12-13,医疗医学,曼谷
2019中医药整合药理学网络计算平台v2.0TCMIP v2.0第二期培训（12月北京班）,2019-12-13,医疗医学,北京
第三届妇产与生殖医学国际会议(GORM-BT 2019),2019-12-13,医疗医学,曼谷
2019中国首届HTH深度学习年会,2019-12-13,教育培训,上海
2019桂林游学，一半山水，一半人文,2019-12-13,游学考察,桂林
第三届儿科医学国际研讨会(IPC-BT 2019),2019-12-13,医疗医学,曼谷
2019年材料基因组与高通量计算国际会议（MGHC 2019） ,2019-12-13,加工制造,曼谷
第六届材料表面与界面国际研讨会(SIM-BT 2019),2019-12-13,加工制造,曼谷
敏捷领导力(CAL)认证培训,2019-12-13,IT互联网,上海
第六届薄膜技术与应用国际会议（TFTA-BT 2019）,2019-12-13,加工制造,曼谷
2019年深度学习与计算机视觉国际会议（DLCV 2019）,2019-12-13,IT互联网,曼谷
第二届中国医院建筑设计师年会2019（杭州）,2019-12-13,医疗医学,杭州
鼎酩学院WSET葡萄酒三级课程（12月上海班）,2019-12-13,服务行业,上海
2019 DevOps Master培训班（12月上海班）,2019-12-13,IT互联网,上海
TCGA&GEO生信高通量数据挖掘分析研讨会2019（12月北京班）,2019-12-13,医疗医学,北京
中国农技推广协会园艺产业促进分会2019年学术年会暨园艺产业创新发展大会（海口）,2019-12-13,农林牧渔,海口
促进建筑业持续健康发展加强工程造价管控规范招标实务操作培训班（12月南宁）,2019-12-13,地产建筑,南宁
2019中国软件技术大会,2019-12-13,IT互联网,北京
2019全国健检中心高效运营与规范管理金陵论坛（12月南京班）,2019-12-13,医疗医学,南京
丁香园&基因课2019年R语言与数据表达培训班（12月武汉）,2019-12-13,医疗医学,武汉
第二届云计算与大数据国际学术会议(CCBD-BT 2019),2019-12-13,IT互联网,曼谷
第二届无线通信、信号与图像处理国际研讨会(WCSIP-BT 2019),2019-12-13,IT互联网,曼谷
第十二届计算智能与软件工程国际研讨会(CiSE-BT 2019),2019-12-13,IT互联网,曼谷
第五届微波与THz国际学术研讨会(ICMTT-BT 2019),2019-12-13,加工制造,曼谷
LiveVideoStackCon 2019音视频技术大会（12月深圳站）,2019-12-13,IT互联网,深圳
《行走的设计》21期设计师创业特训营（12月温州班）,2019-12-13,文化传媒,温州
2019上海嘉定芯机遇论坛,2019-12-13,加工制造,上海
2019年第27届世界抗衰老医学会世界大会,2019-12-13,学术会议,拉斯维加斯
2019IHFCS丨第二届国际氢能及燃料电池产业发展技术峰会（北京）,2019-12-13,能源化工,北京
IATF的TPM标准解读2019（12月上海班）,2019-12-13,加工制造,上海
2019向华为学习：IPD全流程班【构建卓越的产品开发经营管理体系——从机会到商业变现】（12月上海班）,2019-12-13,其它行业,上海
2019阿米巴精品班（12月13-14日沈阳班）,2019-12-13,其它行业,沈阳
人力成本分析与管控2019（12月上海班）,2019-12-13,其它行业,上海
2019火星科学盒STEAM课程推介会——STEAM教育爆发时代  共享千亿新蓝海（上海）,2019-12-13,教育培训,上海
2019Web应用安全架构、入侵检测与防护培训班(12月深圳),2019-12-13,IT互联网,深圳
2019  POWER BI商业大数据分析&可视化呈现 （12月上海班）,2019-12-13,服务行业,上海
2019分析方法开发全实例培训班（12月上海班）,2019-12-13,医疗医学,上海
P4 China 第四届国际精准医疗论坛暨展览会（深圳）,2019-12-13,医疗医学,深圳
2019商业银行票据经营与风险管控专题研修班（12月深圳）,2019-12-13,金融财经,深圳
2019汽车产品工艺与同步工程技术高级培训班（12月北京）,2019-12-13,加工制造,北京
绩效考核暨KPI+BSC实战训练营2019（12月厦门班） 厦门12月13-14日,2019-12-13,其它行业,厦门
2019商业地产资产管理及财务测算解析实战培训（12月北京班）,2019-12-13,地产建筑,北京
"2019 7th IEEE Conference on Systems, Process and Control (ICSPC2019)",2019-12-13,学术会议,MELAKA
2019如何应对FDA cGMP 审计专题培训班（12月上海班）,2019-12-13,医疗医学,上海
2019环境与能源高分子材料学术论坛（重庆）,2019-12-13,能源化工,重庆
2019年空间大数据下的自然资源领域重点项目高级分析技术实践（12月杭州班）,2019-12-13,其它行业,杭州
中层经理管理能力提升2019 （12月上海班）,2019-12-13,其它行业,上海
2019第二届中国融资租赁总经理高峰论坛（上海）,2019-12-13,金融财经,上海
2019第六届CBIS中国婴童产业领袖峰会（北京）,2019-12-13,服务行业,北京
2019年GIS在林业工程中的应用实战班 （12月南昌班）,2019-12-13,其它行业,南昌
2019年劳动领域典型案例及热点事件大盘点培训班（12月上海班）,2019-12-13,其它行业,上海
"International Conference on Electrical, Electronics, Communication, Computer Technologies and Optimi",2019-12-13,学术会议,Mysore
2019《化妆品检验规则》、《化妆品注册和备案检验工作规范》宣贯暨化妆品注册备案与质量控制培训班（12月成都班）,2019-12-13,医疗医学,成都
2019DRGs形势下病案首页质量控制建立与分组体系和主要指标应用实操培训班（12月济南）,2019-12-13,医疗医学,济南
2019Kubernetes CKA实战培训班（ 12月北京）,2019-12-13,IT互联网,北京
卓越的客户服务技巧训练2019（12月上海班） ,2019-12-13,其它行业,上海
2019中国（合肥）AIoT产业发展论坛,2019-12-13,IT互联网,合肥
P4 China 2019|精准医疗之多组学与医学转化研究论坛（深圳）,2019-12-13,医疗医学,深圳
市场营销数据的分析与挖掘2019（12月上海班）,2019-12-13,其它行业,上海
P4 China 2019|精准医疗之精准诊断产业技术开发论坛（深圳）,2019-12-13,医疗医学,深圳
P4 China 2019|精准医疗之肿瘤精准诊断与用药研究论坛（深圳）,2019-12-13,医疗医学,深圳
新旧QC七大工具（十四个质量工具）2019（12月上海班）,2019-12-13,其它行业,上海
2019 华为TUP股权激励方案实战班（北京）,2019-12-13,其它行业,北京
P4 China 2019|精准医疗之生物医学大数据与人工智能论坛,2019-12-13,医疗医学,深圳
2019全球健康城市联盟链高峰论坛（GLOBAL HEALTHY CITY ALLIANCECHAIN SUMMIT FORUM）（澳门）,2019-12-13,IT互联网,澳门
IEIC国际教育创新大会2019（成都）,2019-12-13,教育培训,成都
2019中国汽车金融（CAFS）高峰论坛,2019-12-13,金融财经,上海
2019第三届海峡两岸生殖与遗传高峰论坛暨河北省邢台市医学会医学遗传学专业委员会成立大会,2019-12-13,医疗医学,邢台
2019互联网大型高可用高并发架构设计与实践（12月北京班）,2019-12-14,IT互联网,北京
2019针刀微创临床诊疗尸体解剖研修班（12月贵州）,2019-12-14,医疗医学,长沙
2019互联网大型高可用高并发微服务架构设计与最佳实践培训班（12月北京班）,2019-12-14,IT互联网,北京
2019精鼎第55期SPSS统计软件实战训练营（12月北京）,2019-12-14,医疗医学,北京
2019·第五届欧美教练式管理大师课-聚焦答案管理与教练认证课程（SFC）,2019-12-14,服务行业,上海
2019狼叔短视频实操训练营（12月北京班）,2019-12-14,文化传媒,北京
2019“新形势下食品安全能力提升--新版食品安全法实施条例解读”专题培训班（12月杭州）,2019-12-14,服务行业,杭州
2019中山医国自然—基础与进阶培训班（12月珠海班）,2019-12-14,医疗医学,珠海
2019新法规环境下、中药研发注册与变更技术指导及疑难问题治理高级培训班（12月北京）,2019-12-14,医疗医学,北京
2019 Hadoop、spark和NoSQL大数据实战（12月深圳班）,2019-12-14,IT互联网,深圳
2019医学事务系列培训：基于INSIGHT的医学策略制订（12月北京）,2019-12-14,医疗医学,北京
2019区块链技术实战与商业应用特别训练营（12月北京班）,2019-12-14,金融财经,北京
2019产融实战班--融资租赁深耕产业化业务运作形式与风险把控技巧（12月上海）,2019-12-14,金融财经,上海
2019企业新媒体战略规划、实操案例演练、解决方案研修班暨全国“新媒体管理师”案例精讲面授实操班（12月北京班）,2019-12-14,文化传媒,北京
2019用R语言进行科研数据挖掘实战会议（12月上海班）,2019-12-14,医疗医学,上海
2019临床数据预测模型类论文专题会议（12月上海班）,2019-12-14,医疗医学,上海
2019第七届全国高校电子信息类专业人才培养高峰论坛（深圳）,2019-12-14,教育培训,深圳
2019系统评价与meta分析实战速成班（12月上海班）,2019-12-14,教育培训,上海
2019全国动物绿色生产与健康产业高峰论坛（北京）,2019-12-14,农林牧渔,北京
第三届中国“轨道交通+物业”综合开发与建筑设计国际研讨观摩会,2019-12-14,地产建筑,上海
 销售精英2天强化训练2019（12月上海班）,2019-12-14,其它行业,上海
2019超级增长官-即刻提升医美核心业务流效率（上海）,2019-12-14,其它行业,上海
2019预见“企鹅”智造未来论坛（12月北京班）,2019-12-14,地产建筑,北京
International Symposium on High-Fidelity Computational Methods & Applications,2019-12-14,学术会议,上海
"GPU并行编程C/C++,Matlab，Python北京12月多语言框架高性能课程2019（北京班）",2019-12-14,IT互联网,北京
自持物业的融资及退出路径研修班2019（12月北京班）,2019-12-14,地产建筑,北京
2020年国家农林项目补贴申报暨产业项目策划专家指导会（北京）,2019-12-14,农林牧渔,北京
运筹帷幄，决胜千里：B2B企业的销售管理策略设计2019（北京）,2019-12-14,其它行业,北京
2019租赁涉诉案件处理与法律风险防范形式研修班（12月上海班）,2019-12-14,金融财经,上海
2019Maxwell电磁工程数值仿真及设计基础培训（12月广州班）,2019-12-14,加工制造,广州
2019同道雅集-企业抖音实战特训营（12月广州班）,2019-12-14,文化传媒,广州
 2019CRISPR/Cas9基因组编辑技术(含斑马鱼)学习会,2019-12-14,医疗医学,北京
2019人力资源研修班——为战略实现保驾护航：房地产企业全面绩效管理系统建立与运营（12月北京班）,2019-12-14,地产建筑,北京
2019租赁涉诉案件处理与法律风险防范形式研修班（12月上海班）,2019-12-14,其它行业,上海
2019物业总经理财务管控能力提升培训：掌控财务出利润培训班（12月广州班）,2019-12-14,地产建筑,广州
2019第6期单细胞测序数据挖掘与课题设计学习班（12月北京班）,2019-12-14,医疗医学,北京
CAAI前沿讲习班第八期 | 自然语言理解、生成与人机对话（上海）,2019-12-14,IT互联网,上海
MTSC2019中国移动互联网测试开发大会 深圳站,2019-12-14,IT互联网,深圳
2019高效打造营销铁军地图 （12月上海班）,2019-12-14,其它行业,上海
2019阿米巴精品班（12月14-15日北京班）,2019-12-14,其它行业,北京
阿米巴落地咨询班2019（12月杭州班）,2019-12-14,其它行业,杭州
2019“为战略实现保驾护航：房地产企业全面绩效管理系统建立与运营”培训班(12月北京),2019-12-14,地产建筑,北京
2019阿米巴精品班（12月14-15日贵阳班）,2019-12-14,其它行业,贵阳
2019新媒体短视频运营全流程案例详解|新媒体管理师培训班（12月北京班）,2019-12-14,文化传媒,北京
2019新任经理、部门主管全面管理技能提升训练 （12月14-15日深圳）,2019-12-14,其它行业,深圳
"2019快速打造新媒体运营体系,营销+管理培训暨全国第14期“新媒体管理师”案例精讲面授实操班（12月北京）",2019-12-14,IT互联网,北京
2019商业地产(社区商业、商业街、公寓写字楼、商业综合体等)收益测算、招商策略、节点把控及快销去化案例解析（12月北京班）,2019-12-14,地产建筑,北京
2019商业地产竞争关键-客户视角、五感营销、商户抢夺力、室内外主题街、精细化经营、顾客视角服务培训班(12月合肥班),2019-12-14,地产建筑,合肥
2019房地产报建管理师（12月北京班）,2019-12-14,地产建筑,北京
2019构建高效能的配置管理与持续集成平台培训班(12月上海),2019-12-14,IT互联网,上海
2019 Intercultural Communication——刘骏（12月成都班）,2019-12-14,教育培训,成都
2019CFTE中国数字金融与财资创新展暨中国财资力报告会·中国财资奖颁奖盛典,2019-12-14,金融财经,杭州
2019年全国肺癌个体化精准治疗最新进展研讨会（上海）,2019-12-14,医疗医学,上海
2019数字解析交易私享会（12月太原）,2019-12-14,金融财经,太原
Harbor技术沙龙活动-深圳站,2019-12-14,IT互联网,深圳
